task,method,all_mean,others14_mean,s13_fold
3-sınıf,As-is (referans),0.7337716683217913,0.7637749667593422,0.3137254901960784
3-sınıf,Per-subject norm,0.8512112385366871,0.8458355707010724,0.9264705882352942
3-sınıf,Winsorize %1-99,0.7321895034638168,0.7620797901257982,0.3137254901960784
3-sınıf,Remove S13,0.7567619494982317,0.7567619494982317,
Binary,As-is (referans),0.883421953313958,0.9227139975982883,0.3333333333333333
Binary,Per-subject norm,0.9664052510195487,0.9640056260923736,1.0
Binary,Winsorize %1-99,0.8834557633353565,0.9224000825651928,0.3382352941176471
Binary,Remove S13,0.9293617905199405,0.9293617905199405,
