method,n_features,acc_mean,acc_std,f1_macro
ECG-only,7,0.8265350781667535,0.14623672690266507,0.7949327674652908
EDA-only,4,0.7611364440749768,0.15584342423382855,0.7220882470690966
Resp-only,2,0.810425723841909,0.11524681298072219,0.7843200446193688
Feature Fusion (3 birlikte),13,0.9115012692533252,0.07620010996487478,0.8913825383138568
Decision Fusion (3 ayrı),13,0.9216825005233974,0.06929101066424415,0.9059638703291264
Hybrid (ECG+EDA | Resp),13,0.9111304561364896,0.07786267789622602,0.8935741298738208
