method,n_features,acc_mean,acc_std,f1_macro
ECG-only,7,0.8265350781667535,0.14623672690266507,0.7949327674652908
EDA-only,4,0.7611364440749768,0.15584342423382855,0.7220882470690966
Feature Fusion (Tek Model),11,0.8817024299751102,0.08429041922205066,0.8552205062770455
Decision Fusion (Ayrı Modeller),11,0.9001143658091924,0.07066883486385679,0.8779811733979566
